# frameNo,time,energy,intensity,sonorantEnergy,sonorantIntensity,band2to20Energy,band2to20Intensity,band1Intensity,band2Intensity,band3Intensity,band4Intensity,band1overlapInten,band2overlapInten,band3overlapInten,band4overlapInten,band1vaishaliInten,band2vaishaliInten,band3vaishaliInten,band4vaishaliInten,spectralTilt
100.00000,1.00000,0.09984,-10.00678,0.08616,-10.64683,0.08887,-10.51256,-18.65554,-17.04354,-19.92848,-27.32329,-11.15350,-17.97334,-26.29163,-33.01015,-19.53260,-10.77303,-27.03344,-33.01030,111.41983
101.00000,1.01000,0.09926,-10.03221,0.09094,-10.41231,0.09358,-10.28794,-20.61823,-17.01074,-20.04302,-27.49892,-10.86621,-18.00385,-26.46358,-33.01030,-22.05446,-10.54544,-27.23364,-33.01030,101.07880
102.00000,1.02000,0.10146,-9.93714,0.08669,-10.62042,0.08935,-10.48920,-18.26770,-17.35402,-19.57580,-27.82350,-11.15504,-17.67745,-26.72469,-33.01030,-19.18996,-10.74754,-27.54882,-33.01030,113.95841
103.00000,1.03000,0.09735,-10.11649,0.08936,-10.48846,0.09219,-10.35339,-20.68491,-17.24999,-19.63948,-28.11520,-10.98575,-17.73611,-27.11559,-33.01030,-22.27532,-10.61968,-27.87461,-33.01030,99.73446
104.00000,1.04000,0.09857,-10.06236,0.08475,-10.71866,0.08782,-10.56403,-18.43124,-17.54420,-19.44492,-28.17161,-11.25543,-17.57516,-27.31275,-33.01030,-19.53278,-10.85337,-27.91868,-33.01030,112.83096
105.00000,1.05000,0.09693,-10.13549,0.08861,-10.52523,0.09162,-10.38002,-20.45968,-17.63218,-19.67397,-28.25235,-10.99077,-17.62586,-27.34651,-33.01030,-22.09088,-10.65912,-27.98287,-33.01030,99.63864
106.00000,1.06000,0.09546,-10.20158,0.08219,-10.85198,0.08533,-10.68877,-18.61685,-18.01295,-19.85870,-28.06904,-11.31365,-17.67424,-27.21767,-33.01030,-19.86588,-10.99075,-27.78831,-33.01030,111.07123
107.00000,1.07000,0.09415,-10.26160,0.08602,-10.65407,0.08937,-10.48788,-20.40340,-17.96308,-20.01794,-28.65522,-11.05364,-17.76185,-27.62128,-33.01030,-22.45150,-10.80374,-28.33648,-33.01030,98.83259
108.00000,1.08000,0.08862,-10.52451,0.07797,-11.08087,0.08117,-10.90619,-19.50141,-18.22853,-20.31447,-28.21602,-11.49234,-17.92147,-27.37179,-33.01030,-21.07282,-11.22662,-27.96401,-33.01030,105.23699
109.00000,1.09000,0.09035,-10.44076,0.08108,-10.91069,0.08489,-10.71135,-19.93972,-18.37044,-20.24932,-28.21002,-11.28845,-17.81463,-27.26780,-33.01030,-21.73722,-11.06767,-27.95652,-33.01030,99.34473
